Model,TP,TP (%),TN,TN (%),FP,FP (%),FN,FN (%),F1,Test Accuracy,Avg. Per Label Accuracy,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_no_da_lbow.pt,33880,41.55,5740,7.04,1484,1.82,40432,49.59,12.09,0.0,48.59,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_no_da_Neck.pt,1200,29.3,576,14.06,240,5.86,2080,50.78,23.82,0.0,43.36,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_RandomCrop_lbow.pt,54320,66.62,6258,7.68,966,1.18,19992,24.52,11.19,0.0,74.3,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_RandomCrop_Neck.pt,2072,50.59,152,3.71,664,16.21,1208,29.49,8.93,0.0,54.3,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_no_da_lbow.pt,33880,41.55,5740,7.04,1484,1.82,40432,49.59,12.09,0.0,48.59,,,,Model,TP,TP (%),TN,TN (%),FP,FP (%),FN,FN (%),F1,Test Accuracy,Avg. Per Label Accuracy
/convnext_tiny_pretrained_no_da_Neck.pt,1200,29.3,576,14.06,240,5.86,2080,50.78,23.82,0.0,43.36,,,,,,,,,,,,,,,
/convnext_tiny_pretrained_RandomCrop_lbow.pt,54320,66.62,6258,7.68,966,1.18,19992,24.52,11.19,0.0,74.3,,,,/convnext_tiny_pretrained_no_da_Neck.pt,1200,29.3,576,14.06,240,5.86,2080,50.78,23.82,0.0,43.36
/convnext_tiny_pretrained_RandomCrop_Neck.pt,2072,50.59,152,3.71,664,16.21,1208,29.49,8.93,0.0,54.3,,,,/swin_v2_t_pretrained_RandomCrop_Neck.pt,1432,34.96,504,12.3,312,7.62,1848,45.12,32.16,0.0,47.27
/convnext_tiny_pretrained_RandAug_lbow.pt,49966,61.28,5208,6.39,2016,2.47,24346,29.86,9.29,0.0,67.67,,,,/efficientnet_v2_s_pretrained_RandAug_Neck.pt,1472,35.94,560,13.67,256,6.25,1808,44.14,27.52,0.0,49.61
/convnext_tiny_pretrained_RandAug_Neck.pt,1184,28.91,448,10.94,368,8.98,2096,51.17,17.32,0.0,39.84,,,,/resnet152_pretrained_RandAug_Neck.pt,1136,27.73,656,16.02,160,3.91,2144,52.34,27.68,0.0,43.75
/convnext_small_pretrained_no_da_lbow.pt,37786,46.34,420,0.52,6804,8.34,36526,44.8,2.66,0.0,46.86,,,,/densenet201_pretrained_no_da_Neck.pt,1656,40.43,448,10.94,368,8.98,1624,39.65,23.77,0.0,51.37
/convnext_small_pretrained_no_da_Neck.pt,1944,47.46,192,4.69,624,15.23,1336,32.62,8.11,0.0,52.15,,,,,,,,,,,,,,,
/convnext_small_pretrained_RandomCrop_lbow.pt,31094,38.14,6566,8.05,658,0.81,43218,53.0,12.01,0.0,46.19,,,,,,,,,,,,,,,
/convnext_small_pretrained_RandomCrop_Neck.pt,1448,35.35,184,4.49,632,15.43,1832,44.73,9.97,0.0,39.84,,,,,,,,,,,,,,,
/convnext_small_pretrained_RandAug_lbow.pt,39396,48.32,6300,7.73,924,1.13,34916,42.82,11.45,0.0,56.04,,,,,,,,,,,,,,,
/convnext_small_pretrained_RandAug_Neck.pt,1304,31.84,248,6.05,568,13.87,1976,48.24,13.1,0.0,37.89,,,,,,,,,,,,,,,
/convnext_base_pretrained_no_da_lbow.pt,34692,42.55,5684,6.97,1540,1.89,39620,48.59,10.44,0.0,49.52,,,,,,,,,,,,,,,
/convnext_base_pretrained_no_da_Neck.pt,1336,32.62,304,7.42,512,12.5,1944,47.46,15.0,0.0,40.04,,,,/convnext_tiny_pretrained_no_da_lbow.pt,33880,41.55,5740,7.04,1484,1.82,40432,49.59,12.09,0.0,48.59
/convnext_base_pretrained_RandomCrop_lbow.pt,24822,30.44,6174,7.57,1050,1.29,49490,60.7,11.85,0.0,38.02,,,,/swin_v2_t_pretrained_no_da_lbow.pt,44492,54.57,4928,6.04,2296,2.82,29820,36.57,14.3,0.0,60.61
/convnext_base_pretrained_RandomCrop_Neck.pt,1736,42.38,256,6.25,560,13.67,1544,37.7,15.49,0.0,48.63,,,,/efficientnet_v2_l_pretrained_no_da_lbow.pt,27818,34.12,4830,5.92,2394,2.94,46494,57.02,11.5,0.0,40.04
/convnext_base_pretrained_RandAug_lbow.pt,42434,52.04,4746,5.82,2478,3.04,31878,39.1,10.98,0.0,57.86,,,,/resnet18_pretrained_no_da_lbow.pt,32494,39.85,4172,5.12,3052,3.74,41818,51.29,10.91,0.0,44.97
/convnext_base_pretrained_RandAug_Neck.pt,1152,28.12,368,8.98,448,10.94,2128,51.95,18.42,0.0,37.11,,,,/densenet121_pretrained_RandAug_lbow.pt,44268,54.29,6174,7.57,1050,1.29,30044,36.85,12.54,0.0,61.86
/swin_v2_t_pretrained_no_da_lbow.pt,44492,54.57,4928,6.04,2296,2.82,29820,36.57,14.3,0.0,60.61,,,,,,,,,,,,,,,
/swin_v2_t_pretrained_no_da_Neck.pt,1344,32.81,560,13.67,256,6.25,1936,47.27,23.73,0.0,46.48,,,,,,,,,,,,,,,
/swin_v2_t_pretrained_RandomCrop_lbow.pt,40950,50.22,5278,6.47,1946,2.39,33362,40.92,12.63,0.0,56.7,,,,,,,,,,,,,,,
/swin_v2_t_pretrained_RandomCrop_Neck.pt,1432,34.96,504,12.3,312,7.62,1848,45.12,32.16,0.0,47.27,,,,,,,,,,,,,,,
/swin_v2_t_pretrained_RandAug_lbow.pt,37464,45.95,4942,6.06,2282,2.8,36848,45.19,11.5,0.0,52.01,,,,,,,,,,,,,,,
/swin_v2_t_pretrained_RandAug_Neck.pt,1208,29.49,456,11.13,360,8.79,2072,50.59,23.42,0.0,40.62,,,,,,,,,,,,,,,
/swin_v2_s_pretrained_no_da_lbow.pt,34790,42.67,4186,5.13,3038,3.73,39522,48.47,9.57,0.0,47.8,,,,Con-,,,,,,,,,,,
/swin_v2_s_pretrained_no_da_Neck.pt,776,18.95,504,12.3,312,7.62,2504,61.13,22.0,0.0,31.25,,,,"vNeXt, SwinNetv2, EfficientNetv2, ResNet, DenseNet,",,,,,,,,,,,
/swin_v2_s_pretrained_RandomCrop_lbow.pt,31864,39.08,3080,3.78,4144,5.08,42448,52.06,8.13,0.0,42.86,,,,"DeepMAD, ShapleyNAS, Zen-",,,,,,,,,,,
/swin_v2_s_pretrained_RandomCrop_Neck.pt,2128,51.95,544,13.28,272,6.64,1152,28.12,28.48,1.56,65.23,,,,NAS,,,,,,,,,,,
/swin_v2_s_pretrained_RandAug_lbow.pt,37254,45.69,4718,5.79,2506,3.07,37058,45.45,10.98,0.0,51.48,,,,,,,,,,,,,,,
/swin_v2_s_pretrained_RandAug_Neck.pt,1872,45.7,464,11.33,352,8.59,1408,34.38,26.43,1.56,57.03,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_no_da_lbow.pt,34188,41.93,4060,4.98,3164,3.88,40124,49.21,8.65,0.0,46.91,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_no_da_Neck.pt,1512,36.91,584,14.26,232,5.66,1768,43.16,25.08,0.0,51.17,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_RandomCrop_lbow.pt,40166,49.26,4900,6.01,2324,2.85,34146,41.88,11.14,0.0,55.27,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_RandomCrop_Neck.pt,1824,44.53,200,4.88,616,15.04,1456,35.55,12.34,0.0,49.41,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_RandAug_lbow.pt,22960,28.16,4340,5.32,2884,3.54,51352,62.98,12.08,0.0,33.48,,,,,,,,,,,,,,,
/swin_v2_b_pretrained_RandAug_Neck.pt,1392,33.98,632,15.43,184,4.49,1888,46.09,24.39,0.0,49.41,,,,,,,,,,,,,,,
/densenet121_pretrained_no_da_lbow.pt,41258,50.6,4704,5.77,2520,3.09,33054,40.54,10.33,0.0,56.37,,,,,,,,,,,,,,,
/densenet121_pretrained_no_da_Neck.pt,2216,54.1,376,9.18,440,10.74,1064,25.98,15.63,1.56,63.28,,,,,,,,,,,,,,,
/densenet121_pretrained_RandomCrop_lbow.pt,37828,46.39,4452,5.46,2772,3.4,36484,44.75,9.67,0.0,51.85,,,,,,,,,,,,,,,
/densenet121_pretrained_RandomCrop_Neck.pt,1912,46.68,232,5.66,584,14.26,1368,33.4,16.36,0.0,52.34,,,,,,,,,,,,,,,
/densenet121_pretrained_RandAug_lbow.pt,44268,54.29,6174,7.57,1050,1.29,30044,36.85,12.54,0.0,61.86,,,,,,,,,,,,,,,
/densenet121_pretrained_RandAug_Neck.pt,1784,43.55,496,12.11,320,7.81,1496,36.52,21.82,0.0,55.66,,,,,,,,,,,,,,,
/densenet169_pretrained_no_da_lbow.pt,40404,49.55,4144,5.08,3080,3.78,33908,41.59,8.19,0.0,54.64,,,,,,,,,,,,,,,
/densenet169_pretrained_no_da_Neck.pt,1808,44.14,272,6.64,544,13.28,1472,35.94,19.46,0.0,50.78,,,,,,,,,,,,,,,
/densenet169_pretrained_RandomCrop_lbow.pt,30142,36.97,5068,6.22,2156,2.64,44170,54.17,9.86,0.0,43.18,,,,,,,,,,,,,,,
/densenet169_pretrained_RandomCrop_Neck.pt,1896,46.29,240,5.86,576,14.06,1384,33.79,13.67,0.0,52.15,,,,,,,,,,,,,,,
/densenet169_pretrained_RandAug_lbow.pt,43960,53.91,770,0.94,6454,7.92,30352,37.23,3.18,0.0,54.86,,,,,,,,,,,,,,,
/densenet169_pretrained_RandAug_Neck.pt,1624,39.65,248,6.05,568,13.87,1656,40.43,18.64,0.0,45.7,,,,,,,,,,,,,,,
/densenet201_pretrained_no_da_lbow.pt,36610,44.9,5334,6.54,1890,2.32,37702,46.24,11.63,0.0,51.44,,,,,,,,,,,,,,,
/densenet201_pretrained_no_da_Neck.pt,1656,40.43,448,10.94,368,8.98,1624,39.65,23.77,0.0,51.37,,,,,,,,,,,,,,,
/densenet201_pretrained_RandomCrop_lbow.pt,41524,50.93,6090,7.47,1134,1.39,32788,40.21,11.86,0.0,58.4,,,,,,,,,,,,,,,
/densenet201_pretrained_RandomCrop_Neck.pt,1488,36.33,520,12.7,296,7.23,1792,43.75,22.74,0.0,49.02,,,,,,,,,,,,,,,
/densenet201_pretrained_RandAug_lbow.pt,32466,39.82,4984,6.11,2240,2.75,41846,51.32,11.93,0.0,45.93,,,,,,,,,,,,,,,
/densenet201_pretrained_RandAug_Neck.pt,1592,38.87,264,6.45,552,13.48,1688,41.21,14.14,0.0,45.31,,,,,,,,,,,,,,,
/resnet18_pretrained_no_da_lbow.pt,32494,39.85,4172,5.12,3052,3.74,41818,51.29,10.91,0.0,44.97,,,,,,,,,,,,,,,
/resnet18_pretrained_no_da_Neck.pt,1632,39.84,240,5.86,576,14.06,1648,40.23,12.06,0.0,45.7,,,,,,,,,,,,,,,
/resnet18_pretrained_RandomCrop_lbow.pt,46900,57.52,1638,2.01,5586,6.85,27412,33.62,4.87,0.0,59.53,,,,,,,,,,,,,,,
/resnet18_pretrained_RandomCrop_Neck.pt,2248,54.88,280,6.84,536,13.09,1032,25.2,17.95,1.56,61.72,,,,,,,,,,,,,,,
/resnet18_pretrained_RandAug_lbow.pt,38752,47.53,2184,2.68,5040,6.18,35560,43.61,6.81,0.0,50.21,,,,,,,,,,,,,,,
/resnet18_pretrained_RandAug_Neck.pt,1760,42.97,528,12.89,288,7.03,1520,37.11,25.78,0.0,55.86,,,,,,,,,,,,,,,
/resnet50_pretrained_no_da_lbow.pt,34314,42.08,3514,4.31,3710,4.55,39998,49.06,9.69,0.0,46.39,,,,,,,,,,,,,,,
/resnet50_pretrained_no_da_Neck.pt,2480,60.55,280,6.84,536,13.09,800,19.53,13.8,1.56,67.38,,,,,,,,,,,,,,,
/resnet50_pretrained_RandomCrop_lbow.pt,20636,25.31,2016,2.47,5208,6.39,53676,65.83,4.86,0.0,27.78,,,,,,,,,,,,,,,
/resnet50_pretrained_RandomCrop_Neck.pt,1952,47.66,376,9.18,440,10.74,1328,32.42,24.66,0.0,56.84,,,,,,,,,,,,,,,
/resnet50_pretrained_RandAug_lbow.pt,53774,65.95,3724,4.57,3500,4.29,20538,25.19,8.16,0.72,70.52,,,,,,,,,,,,,,,
/resnet50_pretrained_RandAug_Neck.pt,2016,49.22,344,8.4,472,11.52,1264,30.86,22.02,0.0,57.62,,,,,,,,,,,,,,,
/resnet152_pretrained_no_da_lbow.pt,44114,54.1,2184,2.68,5040,6.18,30198,37.04,7.94,0.0,56.78,,,,,,,,,,,,,,,
/resnet152_pretrained_no_da_Neck.pt,1728,42.19,552,13.48,264,6.45,1552,37.89,25.23,0.0,55.66,,,,,,,,,,,,,,,
/resnet152_pretrained_RandomCrop_lbow.pt,26950,33.05,4214,5.17,3010,3.69,47362,58.09,10.7,0.0,38.22,,,,,,,,,,,,,,,
/resnet152_pretrained_RandomCrop_Neck.pt,1608,39.26,336,8.2,480,11.72,1672,40.82,16.96,0.0,47.46,,,,,,,,,,,,,,,
/resnet152_pretrained_RandAug_lbow.pt,34160,41.9,3122,3.83,4102,5.03,40152,49.24,9.03,0.0,45.72,,,,,,,,,,,,,,,
/resnet152_pretrained_RandAug_Neck.pt,1136,27.73,656,16.02,160,3.91,2144,52.34,27.68,0.0,43.75,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_no_da_lbow.pt,39452,48.39,3178,3.9,4046,4.96,34860,42.75,8.91,0.0,52.28,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_no_da_Neck.pt,2032,49.61,416,10.16,400,9.77,1248,30.47,19.63,0.0,59.77,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandomCrop_lbow.pt,35378,43.39,3318,4.07,3906,4.79,38934,47.75,9.78,0.0,47.46,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandomCrop_Neck.pt,1744,42.58,368,8.98,448,10.94,1536,37.5,21.58,0.0,51.56,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandAug_lbow.pt,33614,41.23,2562,3.14,4662,5.72,40698,49.91,6.85,0.0,44.37,,,,,,,,,,,,,,,
/efficientnet_v2_s_pretrained_RandAug_Neck.pt,1472,35.94,560,13.67,256,6.25,1808,44.14,27.52,0.0,49.61,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_no_da_lbow.pt,37800,46.36,2702,3.31,4522,5.55,36512,44.78,8.72,0.0,49.67,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_no_da_Neck.pt,2424,59.18,216,5.27,600,14.65,856,20.9,12.41,1.56,64.45,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandomCrop_lbow.pt,30268,37.12,1680,2.06,5544,6.8,44044,54.02,4.95,0.0,39.18,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandomCrop_Neck.pt,1464,35.74,456,11.13,360,8.79,1816,44.34,23.91,0.0,46.88,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandAug_lbow.pt,42742,52.42,4200,5.15,3024,3.71,31570,38.72,10.11,0.0,57.57,,,,,,,,,,,,,,,
/efficientnet_v2_m_pretrained_RandAug_Neck.pt,2192,53.52,456,11.13,360,8.79,1088,26.56,20.84,0.0,64.65,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_no_da_lbow.pt,27818,34.12,4830,5.92,2394,2.94,46494,57.02,11.5,0.0,40.04,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_no_da_Neck.pt,2152,52.54,240,5.86,576,14.06,1128,27.54,15.53,1.56,58.4,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandomCrop_lbow.pt,34356,42.14,2800,3.43,4424,5.43,39956,49.0,8.25,0.0,45.57,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandomCrop_Neck.pt,1648,40.23,296,7.23,520,12.7,1632,39.84,18.44,0.0,47.46,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandAug_lbow.pt,42938,52.66,2968,3.64,4256,5.22,31374,38.48,9.19,0.0,56.3,,,,,,,,,,,,,,,
/efficientnet_v2_l_pretrained_RandAug_Neck.pt,824,20.12,504,12.3,312,7.62,2456,59.96,23.85,0.0,32.42,,,,,,,,,,,,,,,
